,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.26,0.206,0.396,1.152,0.282,1.1,0.28,0.259,0.145,0.162,0.168,0.112,600
B,0.924,0.276,0.27,0.122,0.245,0.262,0.209,0.155,0.207,0.197,0.209,0.117,600
C,0.945,0.293,1.178,0.231,0.238,0.223,0.244,1.094,0.186,0.234,0.229,0.114,600
D,0.814,0.393,0.242,0.398,0.225,0.223,0.237,0.21,0.193,0.17,0.238,0.113,600
E,0.377,0.289,0.232,0.217,0.24,0.165,0.208,0.323,0.179,0.218,0.26,0.102,600
F,1.112,0.282,0.25,0.251,0.222,0.217,0.26,0.231,0.181,0.222,0.254,0.124,600
G,1.185,0.276,0.264,0.225,0.255,0.234,0.326,0.238,0.25,0.223,0.238,0.109,600
H,1.403,0.251,1.491,0.27,0.252,0.287,0.155,0.94,0.187,0.185,0.193,0.091,600
