,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.429,0.311,0.445,1.226,0.303,1.524,1.085,0.766,0.232,0.233,0.272,0.136,600
B,1.148,0.295,0.246,0.144,0.627,0.394,0.214,0.201,0.426,0.571,0.21,0.14,600
C,1.06,0.513,1.454,0.225,0.86,0.291,0.4,1.09,0.228,1.018,0.229,0.127,600
D,0.557,0.331,1.108,0.408,0.248,1.053,0.755,0.458,0.245,0.187,0.214,0.122,600
E,0.759,0.241,0.916,0.238,0.272,0.206,0.432,0.311,0.234,0.201,0.463,0.108,600
F,1.24,0.267,1.159,0.227,0.803,0.272,0.445,0.682,0.221,0.295,0.23,0.121,600
G,1.304,0.614,1.05,0.542,0.523,0.466,0.661,0.219,0.219,0.216,0.22,0.09,600
H,1.544,0.249,1.453,0.464,0.923,0.284,0.203,1.441,0.171,0.173,0.178,0.091,600
