,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.503,0.296,0.409,1.134,0.234,1.265,0.724,0.283,0.201,0.237,0.222,0.106,600
B,1.313,0.24,0.297,0.132,0.252,0.229,0.203,0.203,0.224,0.198,0.192,0.12,600
C,1.104,0.261,1.439,0.243,0.327,0.221,0.222,1.024,0.198,0.798,0.198,0.113,600
D,0.644,0.362,0.571,0.397,0.23,0.752,0.229,0.215,0.21,0.181,0.199,0.111,600
E,0.84,0.251,0.324,0.232,0.223,0.191,0.214,0.262,0.196,0.213,0.246,0.096,600
F,1.314,0.263,0.648,0.23,0.292,0.207,0.285,0.264,0.214,0.197,0.209,0.112,600
G,1.356,0.26,0.638,0.253,0.237,0.24,0.398,0.219,0.225,0.21,0.214,0.096,600
H,1.539,0.245,1.347,0.241,0.47,0.246,0.154,1.311,0.197,0.181,0.168,0.092,600
