,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.351,1.17,1.012,1.379,1.178,1.397,1.252,1.166,0.987,1.204,1.27,0.09,600
B,1.037,1.151,0.798,0.138,1.229,1.063,0.873,0.803,1.098,1.044,0.948,0.097,600
C,0.927,1.365,1.317,1.011,1.247,1.131,1.104,1.163,0.967,1.201,1.192,0.102,600
D,0.746,1.212,1.376,1.018,1.091,1.208,1.198,1.141,0.964,0.879,0.942,0.097,600
E,0.865,1.234,1.352,1.174,1.173,0.854,1.035,0.921,1.011,1.129,1.229,0.088,600
F,1.217,1.184,1.243,1.002,1.291,1.064,0.938,1.131,1.087,1.16,1.196,0.102,600
G,1.257,1.18,1.224,1.188,1.218,1.248,1.021,0.989,1.115,1.174,1.241,0.09,600
H,1.329,1.101,1.185,1.125,1.219,1.167,0.845,1.294,1.125,1.125,1.091,0.091,600
