,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.462,0.31,0.479,1.161,0.348,1.287,1.293,0.827,0.302,0.294,0.305,0.097,600
B,1.241,0.327,0.262,0.14,0.504,0.356,0.234,0.223,0.3,0.431,0.232,0.11,600
C,1.005,0.378,1.452,0.255,0.921,0.292,0.298,1.1,0.247,1.184,0.266,0.102,600
D,0.502,0.311,1.199,0.464,0.242,1.247,0.725,0.376,0.247,0.209,0.218,0.099,600
E,0.683,0.252,0.958,0.254,0.279,0.205,0.303,0.365,0.238,0.262,0.353,0.091,600
F,1.163,0.273,1.328,0.261,0.731,0.28,0.408,0.627,0.244,0.233,0.272,0.103,600
G,1.208,0.497,1.281,0.391,0.418,0.403,0.989,0.245,0.24,0.205,0.258,0.088,600
H,1.558,0.179,1.434,0.308,1.093,0.269,0.173,1.271,0.209,0.184,0.205,0.091,600
