,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.171,1.012,0.897,1.351,1.022,1.384,1.063,0.998,0.862,0.954,1.022,0.089,600
B,0.886,0.995,0.661,0.117,1.115,0.956,0.746,0.818,0.994,0.936,0.876,0.087,600
C,0.611,1.226,1.283,0.904,1.09,1.079,1.011,1.049,0.95,1.051,0.98,0.086,600
D,0.636,0.949,1.217,1.063,1.013,1.077,1.088,1.042,1.006,0.855,0.817,0.086,600
E,0.734,1.173,1.201,1.152,1.048,0.786,0.883,0.886,0.92,1.004,1.031,0.085,600
F,1.182,1.151,1.117,1.017,1.139,1.085,0.869,1.03,0.907,0.947,0.914,0.087,600
G,1.205,1.142,1.139,1.115,1.064,1.121,0.848,0.986,0.929,0.95,0.973,0.088,600
H,1.236,0.775,1.072,1.047,1.047,1.06,0.674,1.167,0.945,0.964,0.98,0.087,600
