,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.817,0.129,0.165,1.175,0.221,1.142,0.238,0.278,0.132,0.192,0.184,0.088,600
B,0.867,0.291,0.278,0.143,0.277,0.31,0.259,0.234,0.26,0.25,0.254,0.088,600
C,0.837,0.304,1.205,0.307,0.259,0.298,0.287,1.042,0.247,0.228,0.257,0.087,600
D,0.698,0.409,0.245,0.467,0.27,0.233,0.261,0.234,0.235,0.232,0.261,0.086,600
E,0.232,0.311,0.272,0.273,0.293,0.202,0.229,0.375,0.24,0.257,0.272,0.086,600
F,1.069,0.334,0.278,0.287,0.273,0.273,0.415,0.28,0.284,0.26,0.291,0.088,600
G,1.104,0.318,0.276,0.285,0.291,0.307,0.462,0.313,0.318,0.292,0.287,0.088,600
H,1.386,0.214,1.265,0.287,0.276,0.278,0.102,0.799,0.224,0.177,0.177,0.09,600
