,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.226,0.204,0.423,1.214,0.335,1.152,0.325,0.313,0.215,0.202,0.209,0.134,600
B,1.031,0.335,0.311,0.15,0.296,0.316,0.293,0.275,0.28,0.273,0.266,0.144,600
C,0.976,0.316,1.197,0.285,0.287,0.292,0.286,1.091,0.286,0.263,0.301,0.136,600
D,0.88,0.4,0.273,0.405,0.257,0.248,0.311,0.265,0.267,0.274,0.301,0.127,600
E,0.406,0.321,0.28,0.301,0.263,0.227,0.268,0.41,0.262,0.296,0.266,0.098,600
F,1.185,0.348,0.265,0.313,0.274,0.282,0.419,0.3,0.29,0.282,0.297,0.114,600
G,1.2,0.319,0.275,0.283,0.272,0.313,0.516,0.314,0.324,0.288,0.297,0.088,600
H,1.439,0.286,1.243,0.337,0.291,0.33,0.143,0.991,0.308,0.239,0.208,0.091,600
