,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.136,0.246,0.397,1.112,0.285,1.064,0.276,0.268,0.199,0.288,0.292,0.09,600
B,0.9,0.324,0.293,0.144,0.29,0.28,0.26,0.245,0.242,0.236,0.237,0.088,600
C,0.879,0.32,1.115,0.294,0.261,0.278,0.245,0.939,0.269,0.627,0.274,0.088,600
D,0.527,0.379,0.307,0.416,0.28,0.586,0.253,0.241,0.244,0.246,0.256,0.086,600
E,0.646,0.331,0.294,0.273,0.275,0.235,0.248,0.448,0.251,0.261,0.282,0.087,600
F,1.135,0.336,0.368,0.293,0.264,0.261,0.451,0.299,0.283,0.24,0.29,0.089,600
G,1.157,0.312,0.361,0.294,0.273,0.296,0.446,0.287,0.271,0.275,0.284,0.088,600
H,1.348,0.269,0.978,0.285,0.242,0.272,0.144,1.306,0.26,0.209,0.245,0.093,600
