,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.339,0.41,0.454,1.394,1.065,1.42,1.297,1.204,0.181,0.752,0.814,0.096,600
B,0.989,0.997,0.213,0.141,1.178,1.121,0.498,0.221,1.021,1.123,0.644,0.09,600
C,1.016,1.139,1.326,0.223,1.115,1.048,1.085,1.236,0.426,1.278,0.811,0.089,600
D,0.818,0.886,1.405,0.469,0.794,1.458,1.118,1.091,0.629,0.527,0.535,0.087,600
E,0.922,0.874,1.279,1.034,0.826,0.227,1.084,0.554,0.448,0.792,1.091,0.086,600
F,1.086,0.858,1.209,0.263,1.08,0.986,1.034,1.085,0.328,1.016,0.801,0.089,600
G,1.252,1.205,1.34,1.157,1.118,1.119,1.08,0.328,0.454,0.771,0.858,0.089,600
H,1.47,0.855,1.262,1.113,1.149,1.078,0.472,1.573,0.369,0.91,0.675,0.091,600
