,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.323,0.201,0.396,1.117,0.277,1.041,0.318,0.289,0.187,0.2,0.202,0.11,600
B,1.149,0.292,0.252,0.136,0.265,0.292,0.202,0.215,0.228,0.234,0.191,0.111,600
C,1.091,0.268,1.119,0.249,0.215,0.241,0.252,0.999,0.239,0.516,0.259,0.105,600
D,0.513,0.351,0.267,0.384,0.231,0.474,0.238,0.219,0.242,0.212,0.201,0.099,600
E,0.619,0.256,0.256,0.2,0.191,0.211,0.204,0.4,0.217,0.242,0.268,0.086,600
F,1.191,0.264,0.264,0.244,0.227,0.227,0.335,0.27,0.254,0.237,0.264,0.101,600
G,1.238,0.249,0.258,0.205,0.238,0.214,0.395,0.264,0.272,0.254,0.219,0.088,600
H,1.4,0.238,1.078,0.252,0.232,0.265,0.166,1.287,0.285,0.21,0.193,0.091,600
