,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.355,0.258,0.414,1.123,0.258,1.259,0.64,0.302,0.189,0.256,0.262,0.091,600
B,1.175,0.302,0.268,0.13,0.251,0.281,0.217,0.209,0.261,0.231,0.223,0.095,600
C,1.092,0.251,1.457,0.241,0.295,0.276,0.264,0.97,0.261,0.826,0.246,0.093,600
D,0.534,0.357,0.489,0.424,0.228,0.832,0.254,0.253,0.254,0.218,0.224,0.092,600
E,0.712,0.291,0.289,0.302,0.261,0.2,0.237,0.364,0.278,0.289,0.26,0.088,600
F,1.218,0.308,0.693,0.275,0.282,0.257,0.354,0.363,0.276,0.215,0.257,0.094,600
G,1.281,0.266,0.681,0.281,0.249,0.311,0.402,0.263,0.289,0.248,0.241,0.089,600
H,1.52,0.271,1.143,0.303,0.413,0.263,0.155,1.343,0.276,0.199,0.203,0.091,600
