,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.175,0.223,0.34,1.174,0.301,1.134,0.292,0.299,0.214,0.252,0.263,0.118,600
B,0.846,0.272,0.273,0.139,0.272,0.314,0.291,0.237,0.268,0.244,0.261,0.124,600
C,0.843,0.288,1.179,0.234,0.267,0.283,0.263,1.113,0.235,0.259,0.265,0.12,600
D,0.809,0.394,0.297,0.458,0.37,0.274,0.26,0.231,0.231,0.228,0.248,0.119,600
E,0.416,0.278,0.273,0.263,0.26,0.168,0.216,0.3,0.23,0.27,0.273,0.11,600
F,1.124,0.294,0.306,0.212,0.273,0.269,0.309,0.259,0.261,0.239,0.272,0.127,600
G,1.16,0.282,0.278,0.261,0.259,0.286,0.386,0.239,0.282,0.278,0.253,0.117,600
H,1.451,0.281,1.341,0.272,0.265,0.28,0.145,1.113,0.207,0.188,0.175,0.091,600
