,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.453,1.323,1.196,1.375,1.422,1.402,1.464,1.377,1.112,1.365,1.339,0.095,600
B,1.188,1.394,0.939,0.138,1.507,1.411,1.058,1.08,1.405,1.341,1.194,0.116,600
C,1.014,1.461,1.311,1.162,1.413,1.466,1.444,1.29,1.339,1.404,1.404,0.116,600
D,0.802,1.372,1.518,1.364,1.379,1.447,1.491,1.443,1.316,1.1,1.144,0.11,600
E,0.945,1.369,1.521,1.503,1.385,0.998,1.428,1.138,1.37,1.364,1.411,0.101,600
F,1.339,1.336,1.504,1.214,1.497,1.439,1.152,1.506,1.273,1.337,1.217,0.116,600
G,1.362,1.401,1.501,1.466,1.441,1.488,1.243,1.237,1.199,1.11,1.203,0.092,600
H,1.471,1.291,1.492,1.432,1.465,1.389,0.941,1.489,1.233,1.153,1.123,0.091,600
