,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.286,0.267,0.464,1.138,0.333,1.109,0.262,0.265,0.179,0.212,0.215,0.089,600
B,1.109,0.267,0.289,0.126,0.255,0.222,0.224,0.222,0.219,0.215,0.23,0.095,600
C,1.013,0.3,1.156,0.241,0.246,0.236,0.244,1.081,0.189,0.261,0.244,0.099,600
D,0.368,0.397,0.273,0.444,0.238,0.28,0.235,0.202,0.191,0.225,0.235,0.103,600
E,0.485,0.31,0.292,0.256,0.269,0.182,0.213,0.427,0.201,0.217,0.224,0.096,600
F,1.144,0.32,0.276,0.258,0.237,0.217,0.371,0.243,0.226,0.253,0.251,0.113,600
G,1.163,0.304,0.281,0.267,0.278,0.245,0.373,0.265,0.271,0.25,0.248,0.103,600
H,1.313,0.285,1.263,0.267,0.265,0.299,0.159,1.047,0.254,0.241,0.233,0.09,600
