,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.14,0.096,0.109,1.243,0.252,1.176,0.262,0.281,0.102,0.204,0.255,0.087,600
B,0.84,0.296,0.325,0.106,0.27,0.281,0.271,0.225,0.238,0.237,0.285,0.088,600
C,0.41,0.29,1.16,0.29,0.221,0.243,0.254,1.004,0.216,0.186,0.245,0.087,600
D,0.182,0.392,0.205,0.325,0.234,0.202,0.234,0.209,0.193,0.236,0.255,0.086,600
E,0.121,0.279,0.204,0.23,0.238,0.208,0.233,0.429,0.194,0.222,0.235,0.086,600
F,1.152,0.289,0.235,0.27,0.23,0.242,0.364,0.266,0.243,0.237,0.246,0.088,600
G,1.151,0.282,0.245,0.243,0.253,0.25,0.358,0.277,0.282,0.242,0.249,0.088,600
H,1.416,0.219,1.411,0.277,0.286,0.263,0.115,0.456,0.253,0.164,0.114,0.086,600
