,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.385,0.301,0.797,1.42,0.841,1.443,1.258,1.095,0.239,0.385,0.563,0.106,600
B,1.143,0.763,0.209,0.145,1.104,0.957,0.227,0.197,0.88,1.054,0.268,0.14,600
C,1.083,1.041,1.327,0.213,1.124,0.784,0.904,1.143,0.24,1.464,0.567,0.136,600
D,0.747,0.525,1.265,0.365,0.304,1.282,1.052,0.886,0.359,0.244,0.246,0.133,600
E,0.887,0.519,1.183,0.798,0.469,0.209,0.974,0.732,0.24,0.539,0.967,0.124,600
F,1.29,0.475,1.392,0.232,1.141,0.653,0.858,1.089,0.241,0.856,0.481,0.143,600
G,1.342,1.116,1.356,1.027,1.078,1.019,1.148,0.258,0.242,0.502,0.564,0.132,600
H,1.473,0.459,1.351,1.032,1.238,0.904,0.313,1.559,0.215,0.584,0.272,0.091,600
