,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.11,0.112,0.124,1.22,0.191,1.16,0.218,0.258,0.118,0.149,0.155,0.102,600
B,0.276,0.238,0.221,0.114,0.258,0.285,0.264,0.198,0.254,0.253,0.232,0.109,600
C,0.227,0.256,1.193,0.249,0.2,0.226,0.257,1.074,0.292,0.185,0.25,0.108,600
D,0.203,0.359,0.213,0.332,0.203,0.171,0.231,0.214,0.259,0.221,0.244,0.107,600
E,0.156,0.234,0.209,0.203,0.216,0.193,0.192,0.402,0.267,0.222,0.25,0.098,600
F,0.973,0.254,0.225,0.235,0.22,0.219,0.296,0.264,0.264,0.217,0.245,0.108,600
G,0.984,0.264,0.222,0.224,0.269,0.244,0.346,0.282,0.296,0.218,0.243,0.092,600
H,1.346,0.119,1.237,0.22,0.24,0.2,0.097,0.37,0.193,0.141,0.1,0.086,600
