,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.538,1.141,0.991,1.362,1.397,1.397,1.498,1.226,0.488,1.401,1.32,0.095,600
B,1.218,1.255,0.765,0.138,1.537,1.354,1.042,0.933,1.411,1.382,1.227,0.121,600
C,1.106,1.445,1.305,0.901,1.503,1.22,1.25,1.158,0.934,1.267,1.19,0.127,600
D,0.773,1.203,1.647,1.07,1.209,1.494,1.475,1.433,1.153,1.051,1.011,0.124,600
E,0.911,1.186,1.598,1.198,1.239,0.939,1.15,0.991,0.912,1.374,1.496,0.118,600
F,1.333,1.209,1.51,0.927,1.541,1.231,1.143,1.467,0.897,1.488,1.207,0.135,600
G,1.394,1.395,1.58,1.438,1.35,1.39,1.203,1.113,1.037,1.269,1.277,0.13,600
H,1.492,1.199,1.571,1.34,1.526,1.268,0.957,1.554,0.872,1.299,1.11,0.091,600
