,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.26,0.282,0.188,0.102,0.239,0.635,1.1,0.422,0.176,1.279,1.279,0.091,600
B,1.198,0.228,0.975,1.081,0.679,0.161,0.171,0.185,0.157,0.211,0.169,0.087,600
C,1.133,1.192,0.203,0.218,1.219,0.194,0.17,0.185,0.201,0.204,0.176,0.087,600
D,1.105,0.223,0.204,0.191,0.474,0.181,0.158,1.041,0.162,0.237,0.208,0.089,600
E,1.086,0.22,0.192,0.219,0.179,0.181,0.176,0.16,0.093,0.192,1.291,0.086,600
F,1.106,0.21,0.199,0.197,0.122,0.177,0.173,0.119,0.089,0.191,1.314,0.087,600
G,0.785,0.21,0.204,0.181,0.164,0.206,0.358,0.167,0.19,0.189,0.158,0.087,600
H,1.105,0.203,0.223,0.199,0.113,0.141,0.146,0.111,0.219,0.214,0.162,0.088,600
