,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.255,0.197,0.188,0.097,0.183,0.389,1.099,0.221,0.193,1.211,1.341,0.091,600
B,1.145,0.168,0.955,1.084,0.339,0.179,0.175,0.177,0.197,0.221,0.24,0.089,600
C,1.094,1.256,0.167,0.166,1.224,0.172,0.181,0.165,0.165,0.224,0.23,0.087,600
D,1.07,0.177,0.151,0.153,0.22,0.169,0.169,1.153,0.182,0.216,0.218,0.09,600
E,1.098,0.197,0.157,0.165,0.175,0.168,0.174,0.183,0.113,0.2,1.253,0.087,600
F,1.013,0.162,0.159,0.158,0.157,0.161,0.174,0.118,0.091,0.197,1.268,0.087,600
G,0.83,0.178,0.165,0.172,0.18,0.171,0.205,0.16,0.165,0.216,0.214,0.087,600
H,1.029,0.203,0.219,0.182,0.134,0.162,0.15,0.11,0.195,0.226,0.215,0.087,600
