,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.256,0.254,0.19,0.092,0.188,0.179,1.105,0.162,0.185,1.221,1.127,0.092,600
B,1.235,0.21,0.89,1.091,0.262,0.163,0.168,0.178,0.165,0.228,0.243,0.088,600
C,1.19,1.153,0.179,0.186,1.227,0.162,0.191,0.176,0.167,0.248,0.214,0.087,600
D,1.147,0.224,0.199,0.159,0.201,0.163,0.18,1.046,0.181,0.216,0.227,0.089,600
E,1.13,0.207,0.171,0.17,0.181,0.189,0.184,0.215,0.101,0.237,1.181,0.087,600
F,1.062,0.197,0.196,0.19,0.165,0.168,0.174,0.128,0.09,0.243,1.234,0.087,600
G,0.937,0.221,0.219,0.204,0.216,0.176,0.21,0.177,0.193,0.236,0.217,0.087,600
H,1.142,0.25,0.25,0.211,0.136,0.166,0.177,0.117,0.214,0.253,0.24,0.088,600
