,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.205,0.156,0.202,0.111,0.678,1.047,1.044,0.979,0.214,1.333,1.525,0.09,600
B,1.237,0.154,0.956,1.026,1.1,0.196,0.196,0.193,0.211,0.634,0.593,0.088,600
C,1.279,1.159,0.507,0.186,1.182,0.594,0.193,0.196,0.169,0.369,0.294,0.087,600
D,1.242,0.159,0.159,0.266,0.964,0.316,0.175,0.916,0.22,0.776,0.802,0.089,600
E,1.233,0.145,0.19,0.155,0.496,0.461,0.162,0.198,0.129,0.496,1.361,0.086,600
F,1.122,0.158,0.151,0.182,0.155,0.357,0.388,0.128,0.093,0.485,1.438,0.086,600
G,0.92,0.16,0.181,0.183,0.186,0.817,0.9,0.165,0.22,0.528,0.515,0.088,600
H,1.2,0.155,0.21,0.168,0.146,0.148,0.147,0.117,0.576,0.421,0.349,0.088,600
