,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.2,0.805,0.804,0.282,0.95,0.901,1.035,1.048,0.306,1.253,1.363,0.092,600
B,1.255,0.835,0.903,1.014,1.301,0.677,0.818,0.77,0.361,1.161,1.2,0.089,600
C,1.263,1.314,0.882,0.809,1.185,0.932,0.791,0.71,0.68,1.11,1.087,0.087,600
D,1.262,0.845,0.808,0.809,1.011,0.886,0.793,0.919,0.162,1.208,1.289,0.089,600
E,1.287,0.775,0.834,0.789,0.915,0.882,0.792,0.768,0.115,1.119,1.223,0.087,600
F,0.954,0.868,0.855,0.844,0.773,0.894,0.859,0.61,0.102,1.122,1.188,0.087,600
G,0.932,0.912,0.776,0.694,0.999,1.078,1.014,0.768,0.516,1.184,1.165,0.088,600
H,1.051,0.826,0.822,0.829,0.497,0.934,0.929,0.548,1.238,1.163,1.162,0.087,600
