,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.186,0.228,0.227,0.122,0.288,0.915,1.08,0.806,0.28,1.362,1.575,0.091,600
B,1.188,0.249,0.978,1.064,1.083,0.231,0.208,0.231,0.247,0.257,0.259,0.089,600
C,1.218,1.138,0.199,0.204,1.185,0.24,0.216,0.216,0.19,0.256,0.223,0.086,600
D,1.185,0.2,0.211,0.2,0.843,0.207,0.196,0.961,0.229,0.279,0.339,0.088,600
E,1.195,0.209,0.191,0.203,0.228,0.211,0.195,0.245,0.125,0.228,1.348,0.086,600
F,1.099,0.213,0.187,0.21,0.176,0.195,0.172,0.131,0.092,0.238,1.433,0.086,600
G,0.861,0.185,0.215,0.235,0.191,0.555,0.714,0.185,0.211,0.203,0.223,0.087,600
H,1.172,0.195,0.241,0.236,0.146,0.179,0.164,0.115,0.203,0.204,0.22,0.088,600
