,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.24,0.667,0.169,0.1,0.921,1.017,1.039,1.024,0.21,1.305,1.458,0.09,600
B,1.111,0.322,0.916,1.017,1.374,0.197,0.35,0.358,0.18,1.029,1.031,0.09,600
C,1.162,1.1,0.766,0.39,1.182,0.84,0.26,0.272,0.26,0.959,0.922,0.087,600
D,1.162,0.528,0.484,0.703,0.964,0.699,0.475,0.916,0.168,1.085,1.015,0.089,600
E,1.134,0.457,0.66,0.551,0.85,0.889,0.498,0.184,0.116,0.92,1.317,0.087,600
F,1.071,0.564,0.588,0.567,0.171,0.75,0.791,0.126,0.092,0.957,1.412,0.087,600
G,0.89,0.674,0.357,0.182,0.833,0.97,0.967,0.14,0.196,1.051,1.034,0.088,600
H,1.148,0.496,0.205,0.259,0.123,0.711,0.744,0.138,1.085,0.92,0.941,0.087,600
