,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.212,0.19,0.239,0.11,0.617,1.132,1.047,0.914,0.267,1.353,1.561,0.092,600
B,1.233,0.206,0.974,1.03,1.132,0.231,0.206,0.227,0.252,0.461,0.454,0.088,600
C,1.194,1.173,0.395,0.203,1.183,0.534,0.213,0.214,0.198,0.24,0.271,0.087,600
D,1.143,0.192,0.212,0.207,0.91,0.209,0.204,0.93,0.232,0.69,0.712,0.089,600
E,1.087,0.193,0.181,0.197,0.41,0.373,0.199,0.227,0.111,0.344,1.378,0.087,600
F,1.085,0.189,0.181,0.195,0.146,0.269,0.267,0.116,0.09,0.315,1.445,0.087,600
G,0.913,0.168,0.226,0.228,0.165,0.742,0.891,0.194,0.206,0.393,0.307,0.087,600
H,1.193,0.21,0.268,0.205,0.137,0.168,0.142,0.114,0.467,0.312,0.242,0.088,600
