,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.029,1.143,1.063,0.58,1.017,0.906,1.1,0.946,1.053,1.25,1.369,0.094,600
B,1.102,1.112,0.968,1.07,1.178,0.562,0.928,0.998,0.856,1.224,1.18,0.093,600
C,1.074,1.121,0.975,1.069,1.248,0.929,0.96,0.993,0.923,1.169,1.037,0.086,600
D,1.093,1.04,1.034,0.975,0.909,0.987,0.61,0.966,0.802,1.336,1.263,0.09,600
E,1.093,1.011,1.002,1.004,1.004,0.995,1.029,0.926,0.444,1.255,1.288,0.088,600
F,1.014,0.996,0.988,0.99,0.618,0.997,1.006,0.517,0.113,1.121,1.295,0.095,600
G,0.736,0.994,1.052,1.005,0.923,0.958,0.942,0.549,0.934,1.024,0.845,0.089,600
H,1.102,0.959,0.982,1.015,0.738,0.88,0.968,0.56,1.098,1.07,0.954,0.088,600
