,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.811,0.809,0.784,0.427,0.775,0.818,1.051,0.809,0.796,1.144,1.203,0.089,600
B,0.759,0.794,0.907,1.044,0.999,0.477,0.746,0.765,0.713,1.019,1.131,0.086,600
C,0.75,0.83,0.768,0.817,1.233,0.78,0.733,0.768,0.737,0.89,0.955,0.086,600
D,0.749,0.77,0.773,0.776,0.813,0.772,0.523,0.922,0.664,1.109,1.083,0.086,600
E,0.757,0.729,0.753,0.76,0.776,0.771,0.786,0.762,0.388,1.063,1.194,0.088,600
F,0.738,0.716,0.755,0.76,0.489,0.787,0.792,0.435,0.135,0.985,1.208,0.092,600
G,0.602,0.716,0.767,0.728,0.7,0.803,0.811,0.447,0.728,0.936,0.858,0.089,600
H,0.758,0.716,0.703,0.738,0.48,0.661,0.795,0.402,0.903,0.899,0.956,0.088,600
