,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.197,0.732,0.222,0.113,0.936,0.986,1.036,1.018,0.2,1.326,1.434,0.093,600
B,1.131,0.498,0.919,1.016,1.385,0.228,0.553,0.527,0.163,1.09,1.114,0.09,600
C,1.099,1.196,0.806,0.513,1.182,0.897,0.489,0.406,0.351,1.061,1.02,0.087,600
D,1.071,0.583,0.586,0.73,1.007,0.8,0.595,0.915,0.179,1.146,1.117,0.09,600
E,1.089,0.576,0.684,0.633,0.911,0.917,0.644,0.221,0.122,1.027,1.341,0.086,600
F,1.001,0.633,0.667,0.681,0.326,0.826,0.834,0.156,0.093,1.057,1.433,0.087,600
G,0.824,0.723,0.535,0.186,0.845,1.016,1.002,0.202,0.184,1.127,1.061,0.088,600
H,1.137,0.666,0.364,0.442,0.128,0.734,0.818,0.159,1.105,1.032,1.092,0.088,600
