,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.067,1.14,1.115,0.67,0.997,0.898,1.031,0.852,1,1.243,1.421,0.093,600
B,1.118,1.073,0.908,1.016,1.166,0.697,0.96,0.928,0.97,1.172,1.22,0.088,600
C,1.19,1.078,0.93,0.938,1.191,0.877,0.926,0.908,0.91,1.174,1.189,0.086,600
D,1.19,1.068,0.94,0.882,0.852,0.95,0.963,0.918,0.865,1.17,1.205,0.088,600
E,1.227,1.003,0.94,0.939,0.983,0.985,0.969,1.009,0.539,1.169,1.278,0.086,600
F,1.119,1.026,0.958,0.9,0.772,0.954,0.958,0.618,0.128,1.085,1.253,0.087,600
G,0.886,1.027,1.009,0.954,0.974,0.922,0.882,0.882,0.912,1.018,1.107,0.088,600
H,1.222,1.026,1.022,0.952,0.829,0.848,0.978,0.643,1.045,1.033,1.132,0.087,600
