,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.114,0.24,0.204,0.106,0.205,0.313,1.103,0.234,0.298,1.223,1.363,0.092,600
B,1.222,0.217,0.957,1.09,0.265,0.234,0.224,0.229,0.273,0.234,0.231,0.091,600
C,1.211,1.308,0.168,0.221,1.223,0.186,0.231,0.222,0.216,0.251,0.232,0.087,600
D,1.206,0.229,0.199,0.182,0.197,0.187,0.207,1.159,0.25,0.22,0.21,0.09,600
E,1.166,0.212,0.19,0.218,0.182,0.179,0.22,0.253,0.14,0.236,1.241,0.087,600
F,1.039,0.222,0.207,0.214,0.186,0.19,0.195,0.137,0.09,0.222,1.274,0.087,600
G,0.928,0.223,0.2,0.244,0.2,0.202,0.217,0.213,0.214,0.242,0.191,0.088,600
H,1.073,0.237,0.248,0.22,0.162,0.185,0.175,0.121,0.256,0.232,0.249,0.088,600
