,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.007,0.902,0.846,0.427,0.928,0.887,1.036,1.032,0.506,1.254,1.435,0.093,600
B,0.961,0.919,0.908,1.022,1.135,0.725,0.793,0.802,0.544,1.125,1.077,0.089,600
C,1.117,0.961,0.894,0.847,1.188,0.913,0.792,0.729,0.699,1.094,1.08,0.086,600
D,1.08,0.867,0.819,0.833,0.959,0.848,0.783,0.93,0.179,1.238,1.241,0.089,600
E,1.176,0.775,0.831,0.782,0.843,0.878,0.812,0.807,0.134,1.107,1.28,0.087,600
F,1.071,0.869,0.781,0.844,0.752,0.89,0.842,0.574,0.11,1.068,1.25,0.087,600
G,0.82,0.876,0.82,0.76,0.909,1.043,1.048,0.718,0.609,1.127,1.06,0.088,600
H,1.178,0.837,0.808,0.783,0.577,0.841,0.836,0.567,1.141,1.068,1.089,0.087,600
