,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.247,0.271,0.216,0.119,0.272,0.856,1.086,0.765,0.281,1.382,1.576,0.092,600
B,1.261,0.261,0.983,1.066,1.045,0.221,0.223,0.238,0.264,0.255,0.277,0.088,600
C,1.3,1.287,0.197,0.217,1.191,0.219,0.209,0.221,0.21,0.245,0.222,0.087,600
D,1.246,0.22,0.202,0.202,0.803,0.201,0.203,0.974,0.243,0.223,0.272,0.089,600
E,1.27,0.219,0.244,0.208,0.248,0.208,0.217,0.236,0.129,0.251,1.357,0.086,600
F,1.234,0.209,0.206,0.215,0.177,0.19,0.195,0.138,0.089,0.232,1.442,0.087,600
G,0.834,0.203,0.206,0.223,0.19,0.506,0.701,0.198,0.225,0.234,0.212,0.087,600
H,1.186,0.215,0.244,0.23,0.153,0.171,0.168,0.132,0.213,0.24,0.231,0.088,600
