,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.143,0.216,0.187,0.096,0.23,0.684,1.096,0.456,0.199,1.323,1.489,0.091,600
B,1,0.211,0.973,1.08,0.734,0.174,0.198,0.197,0.194,0.247,0.218,0.09,600
C,1.023,0.958,0.189,0.193,1.216,0.194,0.204,0.182,0.176,0.232,0.22,0.087,600
D,0.934,0.2,0.19,0.185,0.527,0.175,0.208,1.002,0.18,0.227,0.234,0.09,600
E,1.016,0.195,0.196,0.188,0.182,0.204,0.186,0.212,0.115,0.22,1.332,0.086,600
F,0.882,0.202,0.178,0.193,0.173,0.173,0.203,0.135,0.09,0.22,1.38,0.087,600
G,0.901,0.199,0.198,0.194,0.201,0.219,0.413,0.183,0.188,0.236,0.221,0.088,600
H,1.034,0.233,0.222,0.191,0.149,0.162,0.16,0.125,0.188,0.24,0.232,0.088,600
