,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.047,1.195,1.142,0.615,1.015,0.886,1.069,0.903,1.116,1.25,1.409,0.093,600
B,1.055,1.178,0.929,1.046,1.196,0.638,0.957,1.032,1.027,1.222,1.325,0.089,600
C,1.105,1.15,1.013,1.065,1.231,0.935,1.019,1.039,0.95,1.154,1.211,0.086,600
D,1.069,1.079,1.034,0.978,0.904,0.984,0.906,0.943,0.99,1.217,1.295,0.09,600
E,1.17,1.016,1.016,1.007,1.02,1.029,1.048,1.003,0.491,1.21,1.292,0.089,600
F,0.979,1.019,0.992,0.984,0.676,0.999,0.994,0.551,0.13,1.135,1.269,0.093,600
G,0.834,1.035,1.088,0.999,0.953,0.952,0.946,0.846,0.977,0.981,0.96,0.089,600
H,1.151,1.034,1.062,1.042,0.748,0.823,0.93,0.628,1.02,1.008,0.955,0.088,600
