,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.264,0.255,0.215,0.098,0.193,0.182,1.103,0.192,0.28,1.166,1.148,0.092,600
B,1.108,0.232,0.922,1.083,0.202,0.228,0.214,0.222,0.26,0.27,0.247,0.088,600
C,1.095,1.055,0.179,0.203,1.233,0.173,0.224,0.22,0.219,0.259,0.229,0.086,600
D,1.067,0.212,0.196,0.185,0.187,0.191,0.201,0.928,0.239,0.236,0.253,0.089,600
E,1.096,0.228,0.19,0.2,0.163,0.178,0.193,0.232,0.136,0.252,1.168,0.086,600
F,0.95,0.229,0.192,0.189,0.19,0.184,0.192,0.146,0.09,0.244,1.192,0.087,600
G,1.002,0.238,0.202,0.229,0.219,0.194,0.179,0.214,0.243,0.261,0.225,0.087,600
H,1.155,0.257,0.271,0.239,0.151,0.19,0.188,0.117,0.249,0.266,0.23,0.088,600
