,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.175,0.208,0.145,0.088,0.176,0.176,1.104,0.147,0.16,1.178,1.113,0.092,600
B,0.95,0.175,0.872,1.088,0.201,0.142,0.158,0.162,0.153,0.202,0.22,0.088,600
C,0.946,0.917,0.151,0.167,1.23,0.159,0.154,0.167,0.148,0.205,0.195,0.086,600
D,0.946,0.183,0.183,0.152,0.172,0.154,0.153,0.97,0.147,0.173,0.199,0.09,600
E,0.975,0.171,0.167,0.162,0.166,0.164,0.171,0.181,0.098,0.194,1.156,0.086,600
F,0.879,0.167,0.191,0.16,0.133,0.146,0.155,0.112,0.09,0.201,1.207,0.087,600
G,0.879,0.187,0.187,0.177,0.182,0.165,0.167,0.154,0.157,0.22,0.196,0.087,600
H,0.963,0.208,0.22,0.185,0.125,0.16,0.157,0.104,0.179,0.231,0.22,0.087,600
