"run","column","lag","mumax","od0","odmax","residual","well","plate","row","strain","temperature"
1,1,85.5165937670452,-0.0740664860624932,-0.0524999999999999,-0.211846153842361,0.056270153725121,"A1","Plate 01","A","S-media + bacteria",20
1,1,44.2489191457408,0.000907793217997041,0.215000000012511,0.110000002635152,0.0625089994860375,"G1","Plate 01","G","S-media + bacteria",20
1,1,45.7965177858006,0.00423152037341101,0.0035000000709112,-0.0428181787036255,0.156184495439862,"F1","Plate 01","F","S-media + bacteria",20
1,1,43.3668884685279,0.00421597256230609,-0.126499999932296,-0.113818178480893,0.092629926292754,"H1","Plate 01","H","S-media + bacteria",20
1,1,45.6694233680875,0.00275397393000721,-0.0810000000042232,-0.117363633015225,0.164476256903325,"D1","Plate 01","D","S-media + bacteria",20
1,1,45.2513068361449,0.00223939056582353,-0.0895000000291122,-0.152999996539794,0.152192000188989,"C1","Plate 01","C","S-media + bacteria",20
1,1,46.7087581010463,0.00501643558981966,-0.131500000101626,-0.122909087543283,0.130385216145594,"E1","Plate 01","E","S-media + bacteria",20
1,1,-46.8981115007054,-0.00126359838148448,-0.0784999984651027,-0.0290000005514057,0.393684997709461,"B1","Plate 01","B","S-media + bacteria",20
1,10,37.4042358763801,-3.49101144259817e-10,-0.25,-0.277933333323894,0.077890996368795,"A10","Plate 01","A","PB1149",20
1,10,38.4348492328705,0.00254332588772322,-0.0390000001851364,0.74190909156189,4.43625363952585,"H10","Plate 01","H","PB1149",20
1,10,33.3390927843095,0.00945158270671454,-0.232500000122261,0.740909091565027,1.94363642377059,"E10","Plate 01","E","PB1149",20
1,10,32.6956763166709,0.00534695267403529,-0.223000000070438,0.707272728034184,4.07395447347925,"B10","Plate 01","B","PB1149",20
1,10,38.4133932375027,-0.00350428271351836,-0.00250000014297919,0.731090909777646,4.14751537451447,"G10","Plate 01","G","PB1149",20
1,10,33.6206826075682,0.00370540161133629,-0.128000000097925,0.746545455183709,4.66825554189456,"F10","Plate 01","F","PB1149",20
1,10,28.5833459626503,0.00272889690228311,-0.276500000151491,0.682454546293859,7.13198291971859,"D10","Plate 01","D","PB1149",20
1,10,38.9360480530481,0.00796049457990503,-0.161500000063471,0.751545455168024,2.37308888369126,"C10","Plate 01","C","PB1149",20
1,11,36.7944817509938,-0.000988040250817404,-0.388999999949164,-0.372454541305891,0.363235242135985,"A11","Plate 01","A","HK104",20
1,11,54.5769554416985,0.0055350313710973,0.0454999998870921,0.764545455127241,2.33347947728776,"H11","Plate 01","H","HK104",20
1,11,33.584427679114,0.00683202224937882,-0.252500000011249,0.713545455287233,3.43615763465504,"B11","Plate 01","B","HK104",20
1,11,31.9276798769051,-0.00215814064083675,-0.289999999918285,-0.278727268872649,0.0779550829887411,"E11","Plate 01","E","HK104",20
1,11,26.7513723175236,-0.00772828004923585,-0.281999999785424,-0.329727268712658,0.156665774478616,"F11","Plate 01","F","HK104",20
1,11,84.0228139466795,0.0622420921808012,-0.132166666664004,0.7788,0.03206668137101,"C11","Plate 01","C","HK104",20
1,11,55.3749240965267,0.00253780881372251,0.0974999999450671,0.756454546061714,3.38321288116011,"G11","Plate 01","G","HK104",20
1,11,34.015945493943,0.00655316423988257,-0.279000000240599,0.666000000890933,3.52513676704597,"D11","Plate 01","D","HK104",20
1,12,33.224358180477,8.01413732945156e-05,0.906499946182016,0.908545644118109,9.77298765564094e-06,"A12","Plate 01","A","S-media",20
1,12,34.69572383927,-9.52932360660207e-05,0.909000000000474,0.911454545575466,2.59669428083265e-05,"B12","Plate 01","B","S-media",20
1,12,34.3552762754397,-1.63521245155618e-11,0.906,0.91318181829732,3.83471099580586e-06,"F12","Plate 01","F","S-media",20
1,12,34.8960736524931,-2.15663775815812e-05,0.9120000000004,0.912181818300457,5.01652799807985e-06,"H12","Plate 01","H","S-media",20
1,12,34.9822583157389,-2.36023648494705e-10,0.914,0.913214285714517,1.09997615388176e-05,"C12","Plate 01","C","S-media",20
1,12,34.7823002355022,-2.65818103834317e-05,0.911499999999049,0.91363636375044,4.65702498005828e-06,"E12","Plate 01","E","S-media",20
1,12,34.907896698282,-1.79156481316944e-11,0.911,0.912727272844201,5.35537292128714e-06,"G12","Plate 01","G","S-media",20
1,12,34.8047058458279,-6.97145298455756e-05,0.909999999999848,0.910727272850475,8.17355306939818e-06,"D12","Plate 01","D","S-media",20
1,2,55.7276333164763,0.0470681583304806,-0.109000000072821,0.789909090909091,0.0236797559377559,"B2","Plate 01","B","AF16",20
1,2,28.3506633615673,-0.00422951426288168,-0.135499999972992,-0.145090905655515,0.233876457691416,"C2","Plate 01","C","AF16",20
1,2,48.9456198239399,0.0313701647469547,-0.154500001155505,0.7659,0.0487958230009871,"A2","Plate 01","A","AF16",20
1,2,52.7031660783676,0.0317507106948491,-0.0637499992606637,0.79527595351353,0.00809465825215322,"D2","Plate 01","D","AF16",20
1,2,61.0821849850136,0.0327672290989818,-0.020750000232031,0.7988,0.0410989416831194,"G2","Plate 01","G","AF16",20
1,2,57.9170826596099,0.0328959398629286,-0.0167500000555043,0.8,0.0143768877097729,"F2","Plate 01","F","AF16",20
1,2,54.6430739890728,0.0301952486315451,-0.0112499973585369,0.780259448912454,0.0241389186965863,"H2","Plate 01","H","AF16",20
1,2,47.6515577823716,0.0275360470779604,-0.00973862070166305,0.795673578091767,0.0116183890542139,"E2","Plate 01","E","AF16",20
1,3,30.9500951433698,-0.000424305601876496,0.0515000000124985,0.051363639182736,0.0239011102744873,"B3","Plate 01","B","PB1106",20
